nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D
4347,8824,1563,5832,3806,0,8.28861012077534,12.2648195177469,0,79,89,0,0,5,7,7,5,11,12
4316,8057,1796,5935,3622,7.55249282748037,8.13844222888266,12.0949297193433,61,79,88,5,6,5,6,6,5,10,10
4213,6857,1563,5587,3578,6.92749359491002,7.46107179092321,11.0532144019938,61,79,88,5,6,5,7,7,5,11,11
4028,6179,1635,5332,3801,0,7.20640358155895,10.7135859831092,0,80,89,0,0,5,7,7,5,10,10
4490,6425,1686,5444,3691,0,7.45412936717302,11.070520779343,0,79,88,0,0,5,6,6,5,10,10
4272,6066,1664,5679,3159,6.60448598029385,7.19145618288312,10.6568948609896,62,79,88,5,6,5,7,7,5,11,11
4182,8013,1529,5091,3152,6.99208571179946,7.46845050865565,11.1257863103639,61,80,89,5,6,5,7,7,5,10,11
4434,7557,1678,5686,3337,7.2097894819493,7.74717470321724,11.5521695812152,61,80,88,5,6,5,7,7,5,10,10
4242,8970,1620,5851,3637,7.74647571991173,8.26324155703879,12.2782440838805,61,78,90,5,6,5,6,6,5,11,11
4031,7631,1777,5959,3510,7.29518972256403,7.89813966074813,0,61,79,0,5,6,5,7,7,0,0,0
4148,7654,1742,5403,3342,7.09447825177767,7.65041905539426,11.3630826774555,61,78,89,5,6,5,6,6,5,11,11
4447,8537,1743,5078,3822,0,8.1040305950519,11.9911119042132,0,79,88,0,0,5,7,7,5,11,12
4258,6747,1564,5072,3771,6.79641002032929,7.32661749799772,10.860010452984,61,79,90,5,6,5,7,7,5,11,11
4046,8121,1598,5988,3453,7.39240954443681,7.91498477617822,11.7471917896779,61,79,89,5,6,5,6,6,5,11,11
4048,6544,1547,5841,3435,6.80971774927364,7.31880324919686,10.9099332224624,61,79,89,5,6,5,6,6,5,10,10
4394,8589,1591,5882,3934,0,8.31948568248597,12.2890490120936,0,79,90,0,0,5,7,7,5,11,11
4027,7598,1734,5787,3317,7.15448784215129,7.74203950185893,11.4635829743703,61,79,88,5,6,5,7,7,5,10,10
4236,6752,1606,5465,3849,6.95692961293002,7.47830154378897,11.1448576982471,61,79,89,5,6,5,6,6,5,10,10
4244,8245,1526,5787,3749,0,7.99508619398565,11.8877765231859,0,79,89,0,0,5,6,6,5,10,10
4153,6926,1754,5336,3222,6.80470030122904,7.40000279457177,10.9613562941773,61,79,88,5,6,5,7,7,5,10,10
4307,7195,1522,5780,3483,7.08634724772789,7.60610266938601,2.25812968874436,61,79,18,5,6,5,7,7,1,2,2
4219,8230,1759,5980,3080,7.41740338359313,7.98578625974804,11.867422303913,61,78,87,5,6,5,6,6,5,10,10
