nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio,kpol_to_kribo_ratio
4467,7740,1636,250000,2535303.31843835,1503.25598933172,848.306895246215,1268.15481689088,77,87,78,14,5,17,5,5,8,5,5,250000,10,100
4419,8330,1643,250000,2439200.93996592,1767.12625398452,834.695140934709,1224.98657320013,79,87,78,11,5,17,5,5,8,5,5,250000,10,100
4255,7533,1706,250000,2644736.07943454,1453.52776654004,882.041431543401,1322.68500224868,77,86,78,15,5,16,5,5,8,5,5,250000,10,100
4125,7402,1783,250000,2509336.14934027,1343.19183864866,840.491953543959,1255.81617162037,79,87,78,17,5,17,5,5,8,5,5,250000,10,100
4367,8816,1506,250000,2416476.73833506,0,835.979178201474,1220.00648645833,0,87,78,0,0,17,5,5,8,5,5,250000,10,100
4260,7347,1544,250000,2434245.42437247,1375.23227780928,823.964036794737,1222.28811568285,79,87,78,16,5,17,5,5,8,5,5,250000,10,100
4053,7065,1702,250000,2674985.58440979,1171.02945609428,891.362013616872,1330.09534974992,85,86,78,27,5,16,5,5,8,5,5,250000,10,100
4123,8993,1668,250000,2486437.51658563,0,847.97406716311,1247.03229318193,0,87,78,0,0,17,5,5,8,5,5,250000,10,100
4256,8089,1732,250000,2300348.34327479,1301.08835825109,813.001130307394,1162.17462669864,80,87,79,17,5,17,5,5,9,5,5,250000,10,100
4020,7290,1641,250000,2349803.26406838,1337.35452072348,811.914925904495,0,79,87,0,16,5,17,5,5,0,0,0,250000,10,100
4424,7459,1736,250000,2351194.88907237,1738.4035797176,814.012248388082,1185.09547165229,79,87,79,11,5,17,5,5,9,5,5,250000,10,100
4025,6751,1684,250000,2569716.80401368,1418.06948124498,1822.24372859527,1281.78684648796,78,95,78,16,5,7,5,5,8,5,5,250000,10,100
4123,8879,1528,250000,2513824.55885597,0,850.132680305264,1259.89756278645,0,87,78,0,0,17,5,5,8,5,5,250000,10,100
4055,6374,1605,1000000,10853888.8645678,0,3605.55538221028,5390.85434874021,0,84,77,0,0,14,5,5,7,5,5,1000000,10,100
4457,6679,1512,1000000,10840282.9817062,0,3601.53484459519,5363.53953912185,0,84,78,0,0,14,5,5,8,5,5,1000000,10,100
4306,7037,1693,1000000,10783207.9914769,6756.40737119495,4537.62119612715,5335.3631400947,76,85,78,12,5,12,5,5,8,5,5,1000000,10,100
4460,7235,1649,1000000,10862223.6816656,0,3608.35387306102,5369.68747087478,0,84,80,0,0,14,5,5,8,6,6,1000000,10,100
4356,7308,1676,1000000,9518440.69818292,5198.01413882317,3397.00995534265,4767.92207101702,78,93,81,16,5,17,5,6,8,5,5,1000000,10,100
4229,6118,1705,1000000,10627026.5118104,5618.68432386758,707.053454747537,6042.85211158783,77,17,79,15,5,3,1,1,7,5,5,1000000,10,100
4272,6717,1620,1000000,9354365.83151378,4944.47269120281,3143.95027496085,4713.47602464443,78,87,78,17,5,17,5,5,8,5,5,1000000,10,100
4032,7918,1706,1000000,10728449.6154565,5091.87907999337,709.696724664845,5311.38987042919,79,17,77,19,5,3,1,1,7,5,5,1000000,10,100
4176,6372,1787,1000000,10302332.9014132,0,3423.14238446433,5141.64247831086,0,89,78,0,0,16,5,5,8,5,5,1000000,10,100
4383,7912,1696,1000000,10184340.5933329,5312.04576809179,679.998121502678,5085.27468104315,77,17,78,16,5,3,1,1,8,5,5,1000000,10,100
4109,8365,1521,1000000,10055467.0324332,0,3535.57980452263,5030.04276279974,0,96,78,0,0,18,5,6,8,5,5,1000000,10,100
4398,7801,1541,1000000,9306072.11715626,6160.33826888216,3128.85086164476,4692.1931986543,77,87,78,12,5,17,5,5,8,5,5,1000000,10,100
4269,8094,1643,1000000,9144015.89168425,4900.84029019214,3079.67903686957,4619.44738434893,79,96,78,17,5,21,6,6,8,5,5,1000000,10,100
4350,7575,1596,1000000,10191036.3789575,5461.97123112644,680.401189244296,5070.10806828519,77,17,78,15,5,3,1,1,8,5,5,1000000,10,100
4197,7952,1502,1000000,9208071.67762116,0,3098.36385109179,4637.54072251901,0,87,78,0,0,17,5,5,8,5,5,1000000,10,100
4409,7994,1633,1000000,9697075.84898923,5014.07100218223,3240.02285601211,4852.3813825369,79,86,78,18,5,16,5,5,8,5,5,1000000,10,100
4180,7633,1780,1000000,9381247.66296929,5146.94728091402,3144.59715666195,4738.23983098985,78,87,78,16,5,17,5,5,8,5,5,1000000,10,100
4182,7477,1715,1000000,9009343.35620775,6654.87604622657,3068.35331101729,4606.35586686687,78,98,79,10,5,20,5,5,9,5,5,1000000,10,100
4455,6135,1616,1000000,10305327.0200196,0,686.634924759731,5119.43130464126,0,17,79,0,0,3,1,1,9,5,5,1000000,10,100
4419,7500,1515,1000000,9060119.29517454,4973.77861657324,3052.76660303509,4560.58533657657,79,87,79,17,5,17,5,5,9,5,5,1000000,10,100
4087,8809,1664,1000000,9621987.82432939,5872.63300739577,3226.26327238475,4813.76552012573,78,86,78,14,5,16,5,5,8,5,5,1000000,10,100
4410,7620,1585,1000000,10950288.399728,0,3635.31641641094,5415.26931990762,0,84,78,0,0,14,5,5,8,5,5,1000000,10,100
4438,8027,1650,1000000,9113353.26329689,5045.05009350677,3069.21736093841,4603.88247159493,78,87,78,16,5,17,5,5,8,5,5,1000000,10,100
4188,6853,1625,1000000,10558488.0088927,0,4019.23672807448,5232.56402507248,0,94,78,0,0,16,5,7,8,5,5,1000000,10,100
4341,7623,1773,1000000,10633005.7506059,0,3582.15062083161,5270.2102233915,0,91,77,0,0,17,5,5,7,5,5,1000000,10,100
