nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio
4049,8537,1601,10000,92019.0106797732,0,36.5693234874399,54.8247841523495,0,100,120,0,0,5,11,11,5,16,16,10000,10
4277,6754,1756,10000,90461.291073655,0,35.7576533686393,53.4944566176683,0,102,119,0,0,5,11,11,5,16,16,10000,10
4191,6061,1613,10000,91031.1032969094,0,35.5821784660469,53.4131253071875,0,102,120,0,0,5,12,12,5,16,17,10000,10
4058,7198,1603,10000,90326.2764227595,0,0,53.295412940458,0,0,119,0,0,0,0,0,5,17,17,10000,10
4350,6745,1649,10000,93057.3420929865,0,36.5104157722272,54.6232400153342,0,102,121,0,0,5,11,11,5,16,16,10000,10
4185,7152,1561,10000,106331.238072518,0,40.5706070027574,60.7130974004097,0,103,123,0,0,5,12,12,5,16,16,10000,10
4136,7410,1623,10000,99871.6675590841,0,38.746989910323,57.8476275401858,0,102,121,0,0,5,11,11,5,19,20,10000,10
4327,7659,1773,10000,104306.563966247,0,40.3356841616277,60.1934246760396,0,103,121,0,0,5,12,12,5,20,20,10000,10
4001,7798,1537,10000,101578.435135258,0,39.288020782866,58.6855914302913,0,103,121,0,0,5,11,11,5,19,19,10000,10
4379,8756,1602,25000,251113.419596706,0,90.8842310428432,136.269041473533,0,106,126,0,0,5,11,11,5,15,15,25000,10
4030,6612,1593,25000,257680.998107144,0,92.2193085430799,0,0,107,0,0,0,5,13,13,0,0,0,25000,10
4419,6796,1786,25000,252335.602291496,0,90.8994999483053,135.870207424066,0,106,125,0,0,5,13,13,5,17,17,25000,10
4382,6515,1666,25000,251641.739066796,0,90.56041252236,136.624293648161,0,106,125,0,0,5,10,10,5,15,16,25000,10
4121,6416,1671,25000,247970.650390404,0,0,134.113716371385,0,0,125,0,0,0,0,0,5,16,17,25000,10
4093,6548,1722,25000,250905.610720335,0,91.6671444473985,134.297310462951,0,106,125,0,0,5,11,11,5,18,18,25000,10
4339,7255,1614,25000,261844.676655789,0,93.6711017717612,140.450869053762,0,106,127,0,0,5,13,13,5,15,15,25000,10
4081,8400,1785,25000,274820.139632294,0,98.1696244641953,146.718585433468,0,107,127,0,0,5,13,13,5,18,19,25000,10
4027,6256,1671,25000,253809.176963493,0,0,136.336996488166,0,0,126,0,0,0,0,0,5,18,18,25000,10
4164,8509,1599,25000,236614.712657746,0,86.2479007040228,0,0,104,0,0,0,5,11,11,0,0,0,25000,10
4355,6194,1549,25000,254733.909141331,0,91.0670049705664,136.917334978502,0,105,126,0,0,5,12,12,5,15,16,25000,10
4263,6628,1757,25000,227098.291022443,0,83.3057329921148,124.675814496562,0,104,122,0,0,5,10,10,5,15,15,25000,10
4266,7983,1550,25000,272583.083662917,0,0,145.388684750473,0,0,127,0,0,0,0,0,5,18,18,25000,10
4015,8293,1698,25000,243394.291079452,0,88.4340379682791,0,0,104,0,0,0,5,10,10,0,0,0,25000,10
4116,7412,1712,25000,266493.712535636,0,95.1113322357136,142.28281337479,0,106,126,0,0,5,13,13,5,17,17,25000,10
4234,8718,1571,25000,240645.374274156,0,88.6125940191795,131.301321496779,0,105,125,0,0,5,10,11,5,16,16,25000,10
4311,8788,1590,25000,229691.005511907,0,84.2528450988157,126.247442301529,0,104,123,0,0,5,11,11,5,17,17,25000,10
4233,6362,1786,25000,258698.35466348,0,92.6551725212818,138.644851454965,0,107,126,0,0,5,13,13,5,15,15,25000,10
4447,6117,1772,25000,234575.846689664,0,85.2837662942344,0,0,104,0,0,0,5,12,12,0,0,0,25000,10
4182,8438,1612,25000,243822.841355263,0,88.560632719483,0,0,104,0,0,0,5,12,12,0,0,0,25000,10
4479,6123,1549,25000,269614.362004353,0,95.9217727593914,144.674545695015,0,109,127,0,0,5,11,11,5,16,17,25000,10
4039,8258,1775,25000,229246.609964276,0,83.716224017806,125.748539698583,0,104,123,0,0,5,13,13,5,16,16,25000,10
4127,7722,1749,25000,254022.500885146,0,18.3259997614193,27.4806518676923,0,21,25,0,0,1,2,2,1,3,3,25000,10
4036,8107,1501,25000,226822.627864623,0,83.9725796487439,125.423148136685,0,103,122,0,0,5,10,10,5,15,15,25000,10
4255,6340,1573,25000,261004.5209052,0,0,138.984337768613,0,0,126,0,0,0,0,0,5,17,17,25000,10
4110,8817,1645,25000,250460.467741115,0,18.1884857356569,135.282228304429,0,21,125,0,0,1,2,2,5,18,18,25000,10
4413,6331,1714,25000,225921.342688134,0,82.6746244816734,0,0,104,0,0,0,5,10,10,0,0,0,25000,10
4411,8639,1542,25000,261884.046380669,0,95.532115245515,141.044081287652,0,106,126,0,0,5,11,12,5,17,17,25000,10
4216,6019,1739,25000,226451.88765853,0,16.5488715573139,123.757475045683,0,21,123,0,0,1,2,2,5,14,14,25000,10
4307,6793,1614,25000,247819.303286945,0,89.0157772735611,133.352407578735,0,105,125,0,0,5,12,12,5,18,18,25000,10
